Stim,Bard,Bard 0 or 1,Bard Continuous,GPT-3.5,GPT-3.5 0 or 1,GPT-3.5 Continuous,GPT-4,GPT-4 0 or 1,GPT-4 Continuous,Class,Humans Continuous,SD,N,EAT,USF,Both,LSA,Numletts,Gfrqs,Log_gfrqs,W1frq,W2frq,Wordfrq_sum,Logw1frq,Logw2frq,Logwordfrq_sum,pairs,Word2Vec,GloVe,Taxonomic
the chicken dish.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,4,1,3.75,0.7,28,0,0,0,0.55,11,22591,4.35,534,390,924,2.73,2.59,5.32,chicken dish,0.39793922,0.559958666,0.707407277
the chicken farmer.,Makes Sense,1,4,Makes Sense,1,2,Makes Sense,1,4,1,3.69,0.6,29,0,0,0,0.23,13,7754,3.89,534,562,1096,2.73,2.75,5.48,chicken farmer,0.337888544,0.2849156,0.273314104
the chicken hawk.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,2,1,2.43,1.67,28,0,0,0,0.23,11,9766,3.99,534,71,605,2.73,1.85,4.58,chicken hawk,0.278244415,0.163992935,0.327288798
the chicken meat.,Makes Sense,1,4,Nonsense,0,2,Makes Sense,1,4,1,3.86,0.76,28,0.01,0.016,0.01,0.6,11,39489,4.6,534,1280,1814,2.73,3.11,5.83,chicken meat,0.679913065,0.689187176,0.89573566
the chicken pen.,Nonsense,0,2,Makes Sense,1,2,Makes Sense,1,4,1,2.9,1.68,29,0,0,0,0.25,10,2359,3.37,534,349,883,2.73,2.54,5.27,chicken pen,0.122977764,0.054726006,0.259145951
the chicken pet.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,4,-1,1.03,1.02,29,0,0,0,0.29,10,83,1.92,534,242,776,2.73,2.38,5.11,chicken pet,0.312291654,0.326652915,0.508793138
the chicken pot.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,3,1,1.86,1.36,29,0,0,0,0.39,10,20389,4.31,534,416,950,2.73,2.62,5.35,chicken pot,0.266354149,0.414286866,0.510224498
the chicken rib.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1,1,3,1.39,29,0,0,0,0.15,10,101,2.01,534,44,578,2.73,1.64,4.37,chicken rib,0.354833987,0.367209422,0.528812251
the chicken salad.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,4,0,28,0,0,0,0.61,12,96612,4.99,534,281,815,2.73,2.45,5.18,chicken salad,0.504218364,0.556124629,0.83889582
the chicken soup.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4,1,4,0,28,0.04,0.092,0.07,0.5,11,149483,5.17,534,362,896,2.73,2.56,5.29,chicken soup,0.550781527,0.603498094,0.82348036
the child boy.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,2,-1,1.43,1.23,28,0.02,0.051,0.04,0.17,8,2429,3.39,7645,3876,11521,3.88,3.59,7.47,child boy,0.592785106,0.595288313,0.79216974
the child girl.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2,-1,1.59,1.18,29,0.02,0.02,0.02,0.23,9,6318,3.8,7645,4944,12589,3.88,3.69,7.58,child girl,0.589208298,0.622929542,0.800865954
the child infant.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,3,-1,1.45,1.45,29,0.05,0,0.02,0.65,11,1493,3.17,7645,372,8017,3.88,2.57,6.45,child infant,0.701984161,0.633706589,0.770920028
the child mother.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4,1,1.34,1.4,29,0,0.03,0.02,0.23,11,1969,3.29,7645,7356,15001,3.88,3.87,7.75,child mother,0.617765723,0.641911628,0.716367419
the child seat.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,3.66,0.86,29,0,0,0,0.1,9,63860,4.81,7645,1396,9041,3.88,3.14,7.03,child seat,0.180002852,0.203822268,0.23278516
the chimp mother.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,2,1,3.1,1.18,29,,,,0.22,11,68,1.84,9,7356,7365,0.95,3.87,4.82,chimp mother,0.244493798,0.093247655,0.319285256
the chocolate cake.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4,1,4,0,28,0.03,0.061,0.05,0.54,13,505651,5.7,232,383,615,2.37,2.58,4.95,chocolate cake,0.55075984,0.696558406,0.804442931
the chocolate candy.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4,1,4,0,29,0,0.196,0.1,0.62,14,43613,4.64,232,113,345,2.37,2.05,4.42,chocolate candy,0.637568859,0.666920057,0.853249588
the chocolate dog.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1,1,1.31,1.31,29,0,0,0,0.19,12,1310,3.12,232,1285,1517,2.37,3.11,5.47,chocolate dog,0.304887178,0.291343413,0.3306481
the chocolate girl.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1,1,1.79,1.5,29,0,0,0,0.08,13,3729,3.57,232,4944,5176,2.37,3.69,6.06,chocolate girl,0.159596274,0.188910679,0.2324208
the chocolate house.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1,1,2.18,1.44,28,0,0,0,0.08,14,1068,3.03,232,8601,8833,2.37,3.93,6.3,chocolate house,0.070119601,0.089507302,0.120374648
the chocolate ice.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2,1,0.93,1.19,29,1,CREAM,0.5,0.4,12,44178,4.65,232,934,1166,2.37,2.97,5.34,chocolate ice,0.297735538,0.449510427,0.510171342
the chocolate log.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,3,-1,2.14,1.43,28,0,0,0,0.05,12,837,2.92,232,134,366,2.37,2.13,4.49,chocolate log,0.071228191,0.067866626,0.227691799
the chocolate nose.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1,1,1.03,1.32,29,0,0,0,0.16,13,562,2.75,232,1307,1539,2.37,3.12,5.48,chocolate nose,0.147404872,0.168129038,0.300537399
the chocolate soup.,Nonsense,0,3,Nonsense,0,2,Nonsense,0,1,1,2.31,1.37,29,0,0,0,0.49,13,1869,3.27,232,362,594,2.37,2.56,4.92,chocolate soup,0.475343048,0.400036756,0.767068728
the chocolate star.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,2,1,1.9,1.47,29,0,0,0,0.03,13,1014,3.01,232,952,1184,2.37,2.98,5.34,chocolate star,0.031528552,0.113091966,0.128387637
the church bell.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,4,0,28,0.01,0.031,0.02,0.18,10,23628,4.37,2844,507,3351,3.45,2.71,6.16,church bell,0.150392109,0.25034913,0.340356248
the church building.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,3.81,0.63,26,0.01,0,0,0.1,14,167564,5.22,2844,2854,5698,3.45,3.46,6.91,church building,0.241147148,0.44782047,0.640119304
the church door.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3,1,3.93,0.26,28,0.01,0,0,0.07,10,22737,4.36,2844,5891,8735,3.45,3.77,7.22,church door,0.203579882,0.319817344,0.325312444
the church father.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,2,1,2.32,1.44,28,0,0,0,0.11,12,6706,3.83,2844,4872,7716,3.45,3.69,7.14,church father,0.248368916,0.355889662,0.315457146
the church girl.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,2,1,3.33,1.07,27,0,0,0,0.05,10,1956,3.29,2844,4944,7788,3.45,3.69,7.15,church girl,0.228738381,0.203506473,0.232245559
the church key.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1,1,3.79,0.83,28,0,0,0,0.06,9,3314,3.52,2844,1281,4125,3.45,3.11,6.56,church key,-0.023337725,0.129879191,0.132390927
the church library.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3,1,3.18,1.49,28,0,0,0,0.05,13,11067,4.04,2844,942,3786,3.45,2.97,6.43,church library,0.340589976,0.325004874,0.585426826
the church mouse.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,4,1,3.15,1.17,27,0,0,0,-0.01,11,5684,3.75,2844,146,2990,3.45,2.16,5.62,church mouse,-0.05143967,-0.005877422,0.134950068
the church school.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3,1,3.14,1.21,28,0.01,0,0,0.08,12,38976,4.59,2844,6984,9828,3.45,3.84,7.3,church school,0.400831479,0.407183068,0.64192676
the cider apple.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4,-1,2.24,1.43,29,0.19,,0.19,0.29,10,2199,3.34,66,315,381,1.82,2.5,4.32,cider apple,0.444181052,0.421406703,0.61001162
the cigar smoke.,Nonsense,0,2,Makes Sense,1,2,Makes Sense,1,3,1,3.89,0.42,28,0.28,0.507,0.39,0.24,10,21412,4.33,233,1050,1283,2.37,3.02,5.39,cigar smoke,0.379714383,0.389939107,0.375910992
the cigarette butt.,Nonsense,0,2,Makes Sense,1,1,Makes Sense,1,1,1,3.72,0.88,29,0,0.041,0.02,0.06,13,24805,4.39,882,121,1003,2.95,2.08,5.03,cigarette butt,0.26184852,0.266041177,0.470841039
the cigarette money.,Nonsense,0,1,Nonsense,0,3,Nonsense,0,1,1,3.03,1.43,29,0,0,0,0.02,14,1515,3.18,882,7226,8108,2.95,3.86,6.8,cigarette money,0.135881948,0.21911636,0.481565361
the cigarette smoke.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3,1,3.93,0.37,29,0.2,0.449,0.32,0.85,14,231061,5.36,882,1050,1932,2.95,3.02,5.97,cigarette smoke,0.433614997,0.492469574,0.43796426
the circle flower.,Makes Sense,1,3,Nonsense,0,2,Nonsense,0,1,-1,1.18,1.28,28,0,0,0,0.09,12,192,2.29,861,496,1357,2.94,2.7,5.63,circle flower,0.230543615,0.147364622,0.382595188
the circle rainbow.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2,-1,0.63,1.18,27,0,0,0,0.07,13,879,2.94,861,101,962,2.94,2,4.94,circle rainbow,0.260908862,0.16701016,0.376489745
the circle sheet.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1,1,1.61,1.64,28,0,0,0,0.08,11,93,1.97,861,616,1477,2.94,2.79,5.72,circle sheet,0.115364998,0.186382283,0.399321325
the circle shoe.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1,-1,0.21,0.63,28,0,0,0,0.1,10,323,2.51,861,253,1114,2.94,2.4,5.34,circle shoe,0.079542975,0.140122718,0.343009678
the circus clown.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,4,0,28,0.25,0.594,0.42,0.52,11,12124,4.08,257,58,315,2.41,1.76,4.17,circus clown,0.531188904,0.51217348,0.583520428
the circus elephant.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,3.86,0.59,28,0.06,0.028,0.04,0.57,14,3941,3.6,257,226,483,2.41,2.35,4.76,circus elephant,0.342581875,0.334438674,0.483389263
the circus flea.,Makes Sense,1,2,Nonsense,0,2,Makes Sense,1,3,-1,1.57,1.43,28,0,0,0,0.36,10,121,2.09,257,30,287,2.41,1.48,3.89,circus flea,0.246330248,0.29084488,0.381266031
the cliff tree.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3,1,0.86,0.88,29,0,0,0,0.15,9,49,1.7,264,1293,1557,2.42,3.11,5.53,cliff tree,0.31409493,0.315049544,0.540701937
the clock body.,Nonsense,0,3,Nonsense,0,2,Nonsense,0,1,-1,1.37,1.5,27,0,0,0,0.04,9,641,2.81,637,5243,5880,2.8,3.72,6.52,clock body,0.143040689,0.163361745,0.368175678
the clock boy.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1,1,1.17,1.2,29,0,0,0,0.12,8,103,2.02,637,3876,4513,2.8,3.59,6.39,clock boy,0.066338982,0.057336377,0.297093485
the clock cycle.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1,1,2.14,1.25,29,0,0,0,0.03,10,120608,5.08,637,471,1108,2.8,2.67,5.48,clock cycle,0.202789677,0.378030912,0.504379545
the clock face.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,3.34,1.26,29,0.05,0,0.02,0.14,9,49418,4.69,637,8000,8637,2.8,3.9,6.71,clock face,0.071491398,0.184200983,0.413831999
the clock pendulum.,Makes Sense,1,4,Makes Sense,1,2,Makes Sense,1,4,-1,2.93,1.44,29,0,0,0,0.19,13,2255,3.35,637,67,704,2.8,1.83,4.63,clock pendulum,0.249329996,0.411285853,0.510925479
the clock police.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1,1,0.45,0.99,29,0,0,0,0.1,11,1308,3.12,637,3770,4407,2.8,3.58,6.38,clock police,0.090389249,0.120961752,0.277093442
the clothes baby.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1,-1,1.14,1.13,29,0,0,0,0.16,11,11684,4.07,2225,3281,5506,3.35,3.52,6.86,clothes baby,0.327188637,0.37837261,0.427811685
the clothes bed.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,1,-1,0.68,0.98,28,0,0,0,0.36,10,693,2.84,2225,4376,6601,3.35,3.64,6.99,clothes bed,0.296364348,0.413198468,0.49278653
the clothes dress.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,3,-1,1.14,1.27,28,0.07,0.027,0.05,0.73,12,4277,3.63,2225,1516,3741,3.35,3.18,6.53,clothes dress,0.587777466,0.632072013,0.586012443
the clothes money.,Nonsense,0,1,Makes Sense,1,2,Nonsense,0,1,1,1.63,1.52,27,0.04,0,0.02,0.2,12,762,2.88,2225,7226,9451,3.35,3.86,7.21,clothes money,0.284550217,0.31009455,0.394441519
the clothes police.,Makes Sense,1,1,Nonsense,0,2,Nonsense,0,0,1,1.5,1.29,28,0,0,0,0.03,13,6363,3.8,2225,3770,5995,3.35,3.58,6.92,clothes police,0.131426448,0.196074223,0.121136355
the clothes prison.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,1,-1,0.68,1.02,28,0,0,0,0.12,13,0,0,2225,1239,3464,3.35,3.09,6.44,clothes prison,0.127843392,0.18413334,0.198336033
the clothes school.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1,-1,1,0.93,29,0,0,0,0.23,13,2493,3.4,2225,6984,9209,3.35,3.84,7.19,clothes school,0.134129186,0.211071431,0.104723038
the clothes stage.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1,-1,0.62,1.01,29,0,0,0,0.08,12,59,1.78,2225,2528,4753,3.35,3.4,6.75,clothes stage,0.069200328,0.122833417,0.163282615
the clothes street.,Makes Sense,1,1,Makes Sense,1,3,Nonsense,0,0,-1,0.34,0.67,29,0,0,0,0.18,13,206,2.32,2225,4546,6771,3.35,3.66,7,clothes street,0.294589827,0.189281364,0.180641039
the clothes summer.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,2,-1,0.89,1.2,28,0.01,0,0,0.24,13,788,2.9,2225,2165,4390,3.35,3.34,6.68,clothes summer,0.143894994,0.254038514,0.159292186
the clothes winter.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1,-1,0.75,1,28,0,0,0,0.25,13,476,2.68,2225,1423,3648,3.35,3.15,6.5,clothes winter,0.216307017,0.280638407,0.205540666
the cloud building.,Makes Sense,1,3,Nonsense,0,3,Nonsense,0,1,1,0.48,1.02,29,0,0,0,0.06,13,532,2.73,560,2854,3414,2.75,3.46,6.2,cloud building,0.081440427,0.1456859,0.234090688
the cloud forest.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2,1,0.66,1.14,29,0,0,0,0.06,11,51301,4.71,560,1219,1779,2.75,3.09,5.83,cloud forest,0.161408333,0.32177835,0.358835996
the cloud picture.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,2,1,2.03,1.38,29,0,0,0,0.11,12,1953,3.29,560,1905,2465,2.75,3.28,6.03,cloud picture,0.143446661,0.252185329,0.360730773
the cloud rain.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,1,1,1.41,0.78,29,0.19,0.307,0.25,0.53,9,550,2.74,560,1279,1839,2.75,3.11,5.86,cloud rain,0.209875485,0.351683428,0.637045754
the cloud smoke.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,2,-1,1.43,1.4,28,0,0,0,0.19,10,108,2.04,560,1050,1610,2.75,3.02,5.77,cloud smoke,0.326004968,0.474287834,0.582329188
the clown car.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3,1,3.89,0.57,28,0,0,0,0.02,8,4436,3.65,58,4944,5002,1.76,3.69,5.46,clown car,0.098202348,0.111462419,0.225346241
the clown circus.,Makes Sense,1,4,Makes Sense,1,2,Makes Sense,1,4,-1,2.52,1.33,29,0.28,0.237,0.26,0.52,11,384,2.59,58,257,315,1.76,2.41,4.17,clown circus,0.531188904,0.51217348,0.583520428
the clown face.,Nonsense,0,2,Nonsense,0,2,Makes Sense,1,3,1,3.71,0.85,28,0,0,0,0.28,9,6508,3.81,58,8000,8058,1.76,3.9,5.67,clown face,0.157457531,0.151655986,0.275065447
the clown pants.,Nonsense,0,2,Makes Sense,1,2,Makes Sense,1,2,1,3.75,0.75,28,0,0,0,0.27,10,1231,3.09,58,282,340,1.76,2.45,4.21,clown pants,0.23517816,0.233348637,0.309815323
the clown school.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4,1,3.61,0.83,28,0,0,0,0.03,11,1596,3.2,58,6984,7042,1.76,3.84,5.61,clown school,0.1333413,0.108607394,0.155306519
the cocktail shrimp.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,-1,3.41,1.05,29,0,0.027,0.01,0.05,14,2638,3.42,147,26,173,2.17,1.41,3.58,cocktail shrimp,0.215565939,0.370551236,0.41020672
the cocktail umbrella.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,4,1,3.39,1.07,28,0,0.013,0.01,0.07,16,3427,3.54,147,203,350,2.17,2.31,4.47,cocktail umbrella,0.103845896,0.150612099,0.313702329
the coffee boy.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,2,1,2.71,1.38,28,0,0,0,0.11,9,1261,3.1,1644,3876,5520,3.22,3.59,6.8,coffee boy,0.040284201,0.134482665,0.244298974
the coffee cake.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,3.96,0.19,27,0,0,0,0.35,10,48599,4.69,1644,383,2027,3.22,2.58,5.8,coffee cake,0.296885448,0.386901082,0.720066765
the coffee guy.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1,1,3.46,0.79,28,0,0,0,0.19,9,1963,3.29,1644,465,2109,3.22,2.67,5.88,coffee guy,0.160083668,0.111126388,0.236062594
the coffee house.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,4,0,28,0.02,0,0.01,0.12,11,157793,5.2,1644,8601,10245,3.22,3.93,7.15,coffee house,0.165300074,0.177299588,0.189299514
the coffee milk.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3,-1,2.04,1.37,28,0.02,0.041,0.03,0.29,10,2681,3.43,1644,1868,3512,3.22,3.27,6.49,coffee milk,0.443135985,0.469657089,0.807052468
the coffee pot.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,4,0,28,0.03,0,0.02,0.36,9,131403,5.12,1644,416,2060,3.22,2.62,5.83,coffee pot,0.254421846,0.349074607,0.506705519
the coffee tea.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,2,1,0.75,0.8,28,0.39,0.442,0.42,0.55,9,18095,4.26,1644,1589,3233,3.22,3.2,6.42,coffee tea,0.563529216,0.669211127,0.965142913
the coffin lid.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4,1,3.75,0.7,28,0.01,0,0,0.19,9,6870,3.84,144,246,390,2.16,2.39,4.55,coffin lid,0.274553198,0.277275394,0.586706832
the coffin nail.,Nonsense,0,2,Makes Sense,1,2,Makes Sense,1,1,1,2.36,1.62,28,0.08,0.013,0.05,0.08,10,2571,3.41,144,216,360,2.16,2.33,4.49,coffin nail,0.278198254,0.335988863,0.38712505
the coffin ship.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1,1,0.79,1.17,28,0,0,0,0.07,10,416,2.62,144,793,937,2.16,2.9,5.06,coffin ship,0.116124931,0.209973628,0.289375164
the coin dollar.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2,-1,2.28,1.33,29,0,0.048,0.02,0.5,10,1350,3.13,140,263,403,2.15,2.42,4.57,coin dollar,0.309751347,0.295115046,0.275465979
the coin door.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2,1,0.66,1.04,29,0,0,0,0.02,8,6636,3.82,140,5891,6031,2.15,3.77,5.92,coin door,0.150764631,0.177025906,0.220348177
the coin guy.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1,1,2.11,1.5,28,0,0,0,0.08,7,120,2.08,140,465,605,2.15,2.67,4.81,coin guy,0.101803808,0.090290281,0.214854461
the coin money.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4,1,2.41,1.43,29,0.2,0.436,0.32,0.5,9,12720,4.1,140,7226,7366,2.15,3.86,6.01,coin money,0.247026113,0.197881757,0.342665059
the cop bike.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2,1,2.11,1.34,28,0,0,0,0.14,7,1355,3.13,155,153,308,2.19,2.18,4.38,cop bike,0.23691563,0.222516763,0.347166573
the cop car.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3,1,3.93,0.38,27,0.01,0.027,0.02,0.32,6,31562,4.5,155,4944,5099,2.19,3.69,5.88,cop car,0.256558087,0.218213051,0.284701105
the cop guy.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,2,-1,2.68,1.39,28,0,0,0,0.48,6,501,2.7,155,465,620,2.19,2.67,4.86,cop guy,0.436367843,0.438121218,0.735330046
the cop midnight.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,2,-1,0.45,0.74,29,0,0,0,0.19,11,0,0,155,429,584,2.19,2.63,4.82,cop midnight,0.096653577,0.099344429,0.196746016
the cop school.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,2,-1,2.62,1.29,29,0,0,0,0.09,9,292,2.47,155,6984,7139,2.19,3.84,6.03,cop school,0.118192123,0.059234004,0.184500162
the cop street.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1,-1,0.93,0.84,29,0,0,0,0.46,9,0,0,155,4546,4701,2.19,3.66,5.85,cop street,0.262097608,0.180771475,0.16359581
the cop weed.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,1,1,0.54,0.79,28,0,0,0,0.05,7,0,0,155,167,322,2.19,2.22,4.41,cop weed,0.218487073,0.166538385,0.362506574
the corn baby.,Nonsense,0,2,Nonsense,0,3,Nonsense,0,1,-1,0.9,1.11,29,0,0,0,0.07,8,0,0,445,3281,3726,2.65,3.52,6.16,corn baby,0.148274506,0.162700734,0.283608682
the corn bread.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,4,0,29,0.01,0.029,0.02,0.39,9,52553,4.72,445,1327,1772,2.65,3.12,5.77,corn bread,0.283787891,0.460817076,0.737913088
the corn cow.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,1,-1,0.43,0.63,28,0,0,0,0.35,7,52,1.72,445,403,848,2.65,2.61,5.25,corn cow,0.280683934,0.289420928,0.476998265
the corn dog.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,3.96,0.19,28,0,0,0,0.05,7,11339,4.05,445,1285,1730,2.65,3.11,5.76,corn dog,0.162368847,0.188886247,0.309715277
the corn farmer.,Makes Sense,1,4,Makes Sense,1,3,Nonsense,0,4,1,3.55,1.02,29,0,0,0,0.6,10,2576,3.41,445,562,1007,2.65,2.75,5.4,corn farmer,0.438231251,0.343014692,0.298733027
the corn field.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4,1,3.72,0.92,29,0.15,0.043,0.1,0.17,9,34784,4.54,445,2327,2772,2.65,3.37,6.02,corn field,0.170732966,0.181675332,0.205052916
the corn flour.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,3.28,1.33,29,0,0,0,0.55,9,28636,4.46,445,462,907,2.65,2.66,5.31,corn flour,0.443475343,0.539872904,0.816891991
the corn salad.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3,1,3.04,1.4,28,0,0,0,0.22,9,6758,3.83,445,281,726,2.65,2.45,5.1,corn salad,0.284407848,0.318836008,0.618677718
the corn sugar.,Nonsense,0,2,Makes Sense,1,2,Makes Sense,1,1,1,1.54,1.4,28,0,0,0,0.23,9,10795,4.03,445,976,1421,2.65,2.99,5.64,corn sugar,0.483945864,0.564550427,0.779633811
the corpse lizard.,Makes Sense,1,1,Makes Sense,1,2,Nonsense,0,1,-1,1.21,1.26,29,0,0,0,0.03,12,0,0,186,32,218,2.27,1.51,3.77,corpse lizard,0.30636571,0.216498369,0.409075087
the cottage cheese.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4,1,3.86,0.74,29,0.01,0.206,0.11,0.34,13,203780,5.31,555,497,1052,2.74,2.7,5.44,cottage cheese,0.182251125,0.378404285,0.188838253
the cottage garden.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4,1,2.83,1.44,29,0,0,0,0.45,13,32533,4.51,555,1998,2553,2.74,3.3,6.04,cottage garden,0.409749976,0.389855834,0.728270218
the cottage home.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4,1,2.96,1.26,28,0.02,0.04,0.03,0.37,11,38768,4.59,555,8831,9386,2.74,3.95,6.69,cottage home,0.398198114,0.359079175,0.54310814
the cottage milk.,Nonsense,0,3,Nonsense,0,2,Nonsense,0,1,-1,1.24,1.41,29,0,0,0,0.34,11,0,0,555,1868,2423,2.74,3.27,6.02,cottage milk,0.104959062,0.197788254,0.148651821
the cow blood.,Makes Sense,1,1,Makes Sense,1,1,Nonsense,0,1,1,3.28,1.19,29,0,0,0,0.03,8,2517,3.4,403,2536,2939,2.61,3.4,6.01,cow blood,0.202026576,0.290416215,0.440010675
the cow cheese.,Nonsense,0,4,Makes Sense,1,3,Nonsense,0,1,1,2.21,1.5,29,0,0,0,0.37,9,3037,3.48,403,497,900,2.61,2.7,5.3,cow cheese,0.329645666,0.344140871,0.362930976
the cow corn.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1,1,1.11,1.4,27,0,0,0,0.35,7,227,2.36,403,445,848,2.61,2.65,5.25,cow corn,0.280683934,0.289420928,0.476998265
the cow girl.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,1,1,3.76,0.69,29,0,0,0,0.22,7,6789,3.83,403,4944,5347,2.61,3.69,6.3,cow girl,0.304723631,0.222309352,0.460415982
the cow ship.,Nonsense,0,1,Makes Sense,1,2,Nonsense,0,1,1,0.69,1.07,29,0,0,0,0.04,7,0,0,403,793,1196,2.61,2.9,5.5,cow ship,0.112011853,0.082298691,0.237319439
the crab cake.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,4,1,3.72,1.03,29,0,0,0,0.03,8,24328,4.39,81,383,464,1.91,2.58,4.49,crab cake,0.261870529,0.378860532,0.55812568
the crab grass.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,1,1,2.86,1.6,29,0,0,0,0.16,9,6975,3.84,81,1483,1564,1.91,3.17,5.08,crab grass,0.232011648,0.268958008,0.419867205
the crab meat.,Nonsense,0,4,Makes Sense,1,3,Makes Sense,1,4,1,3.93,0.37,29,0.02,0.081,0.05,0.07,8,64112,4.81,81,1280,1361,1.91,3.11,5.02,crab meat,0.431291762,0.383720029,0.67234991
