Stim,Humans Continuous,SD,Word2Vec,GloVe,Taxonomic
the clothes bed.,0.68,0.98,0.296364348,0.413198468,0.49278653
the clothes dress.,1.14,1.27,0.587777466,0.632072013,0.586012443
the clothes police.,1.5,1.29,0.131426448,0.196074223,0.121136355
the clothes prison.,0.68,1.02,0.127843392,0.18413334,0.198336033
the clothes school.,1,0.93,0.134129186,0.211071431,0.104723038
the clothes stage.,0.62,1.01,0.069200328,0.122833417,0.163282615
the clothes street.,0.34,0.67,0.294589827,0.189281364,0.180641039
the clothes summer.,0.89,1.2,0.143894994,0.254038514,0.159292186
the clothes winter.,0.75,1,0.216307017,0.280638407,0.205540666
the cloud building.,0.48,1.02,0.081440427,0.1456859,0.234090688
the cloud forest.,0.66,1.14,0.161408333,0.32177835,0.358835996
the cloud rain.,1.41,0.78,0.209875485,0.351683428,0.637045754
the cloud smoke.,1.43,1.4,0.326004968,0.474287834,0.582329188
the clown car.,3.89,0.57,0.098202348,0.111462419,0.225346241
the clown circus.,2.52,1.33,0.531188904,0.51217348,0.583520428
the clown face.,3.71,0.85,0.157457531,0.151655986,0.275065447
the clown pants.,3.75,0.75,0.23517816,0.233348637,0.309815323
the clown school.,3.61,0.83,0.1333413,0.108607394,0.155306519
the cocktail shrimp.,3.41,1.05,0.215565939,0.370551236,0.41020672
the cocktail umbrella.,3.39,1.07,0.103845896,0.150612099,0.313702329
the coffee boy.,2.71,1.38,0.040284201,0.134482665,0.244298974
the coffee cake.,3.96,0.19,0.296885448,0.386901082,0.720066765
the coffee guy.,3.46,0.79,0.160083668,0.111126388,0.236062594
the coffee house.,4,0,0.165300074,0.177299588,0.189299514
the coffee pot.,4,0,0.254421846,0.349074607,0.506705519
the coffee tea.,0.75,0.8,0.563529216,0.669211127,0.965142913
the coffin lid.,3.75,0.7,0.274553198,0.277275394,0.586706832
the coffin ship.,0.79,1.17,0.116124931,0.209973628,0.289375164
the coin door.,0.66,1.04,0.150764631,0.177025906,0.220348177
the cop car.,3.93,0.38,0.256558087,0.218213051,0.284701105
the cop guy.,2.68,1.39,0.436367843,0.438121218,0.735330046
the cop midnight.,0.45,0.74,0.096653577,0.099344429,0.196746016
the cop school.,2.62,1.29,0.118192123,0.059234004,0.184500162
the cop street.,0.93,0.84,0.262097608,0.180771475,0.16359581
the cop weed.,0.54,0.79,0.218487073,0.166538385,0.362506574
the corn baby.,0.9,1.11,0.148274506,0.162700734,0.283608682
the corn bread.,4,0,0.283787891,0.460817076,0.737913088
the corn cow.,0.43,0.63,0.280683934,0.289420928,0.476998265
the corn dog.,3.96,0.19,0.162368847,0.188886247,0.309715277
the corn farmer.,3.55,1.02,0.438231251,0.343014692,0.298733027
the corn field.,3.72,0.92,0.170732966,0.181675332,0.205052916
the corn flour.,3.28,1.33,0.443475343,0.539872904,0.816891991
the corn salad.,3.04,1.4,0.284407848,0.318836008,0.618677718
the corpse lizard.,1.21,1.26,0.30636571,0.216498369,0.409075087
the cottage cheese.,3.86,0.74,0.182251125,0.378404285,0.188838253
the cottage garden.,2.83,1.44,0.409749976,0.389855834,0.728270218
the cottage home.,2.96,1.26,0.398198114,0.359079175,0.54310814
the cottage milk.,1.24,1.41,0.104959062,0.197788254,0.148651821
the cow blood.,3.28,1.19,0.202026576,0.290416215,0.440010675
the cow corn.,1.11,1.4,0.280683934,0.289420928,0.476998265
the cow girl.,3.76,0.69,0.304723631,0.222309352,0.460415982
the cow ship.,0.69,1.07,0.112011853,0.082298691,0.237319439
the crab cake.,3.72,1.03,0.261870529,0.378860532,0.55812568
the crab grass.,2.86,1.6,0.232011648,0.268958008,0.419867205
the crab meat.,3.93,0.37,0.431291762,0.383720029,0.67234991
the cranberry juice.,4,0,0.360228941,0.54710834,0.731350246
the cranberry salad.,3.52,0.87,0.378851521,0.407331165,0.588152548
the crate dog.,0.96,1.2,0.404899003,0.213498295,0.297579458
the crate door.,2.5,1.67,0.318939671,0.238249706,0.384340432
the crib home.,0.71,1.12,0.2412122,0.060493477,0.303711758
the crib sheet.,2.54,1.48,0.250584608,0.331579046,0.405224732
the crocodile baby.,3.24,0.99,0.259655845,0.191522462,0.452617744
the crown gold.,1.38,1.01,0.315220166,0.405211016,0.397582611
the crown jewel.,3.32,0.98,0.347036906,0.412400182,0.425388745
the crown prince.,2.67,1.54,0.230388275,0.533236386,0.384820944
the cucumber nose.,0.32,0.55,0.197819334,0.060002718,0.214041927
the cucumber salad.,3.96,0.19,0.627819634,0.55537482,0.71556645
the cucumber sea.,0.5,0.79,0.145152955,0.253436317,0.122420358
the cycle clock.,0.75,1.04,0.202789677,0.378030912,0.504379545
the cycle hurricane.,1.03,1.02,0.109728212,0.137859016,0.303567209
the cycle moon.,0.76,0.87,0.122179507,0.168202131,0.366468622
the cycle stage.,0.97,1.4,0.216858496,0.327404716,0.498756088
the deer body.,3.24,1.27,0.119857451,0.0893702,0.253576951
the deer lake.,1.17,1.26,0.307242201,0.303326228,0.350210461
the deer leg.,3.59,0.95,0.142486262,0.086017584,0.241911721
the deer meat.,3.97,0.19,0.345604191,0.29134427,0.367050533
the diamond bracelet.,4,0,0.350070849,0.380900034,0.641815306
the diamond ear.,1.1,1.21,0.160249904,0.147829753,0.33481554
the diamond necklace.,4,0,0.346734654,0.50790327,0.635453619
the diamond queen.,2.55,1.45,0.199377715,0.23214368,0.358087894
the diamond tennis.,0.41,0.82,0.194783914,0.230449276,0.309699827
the dime bag.,3.07,1.39,0.20899683,0.303015599,0.394576165
the dish cheese.,0.86,1.03,0.369113884,0.490171798,0.735209171
the dish chicken.,0.68,0.94,0.39793922,0.559958666,0.707407277
the dish dog.,0.46,0.74,0.150913033,0.240466022,0.334641953
the dish face.,1,1.33,0.093606128,0.085805744,0.272310194
the dish kitchen.,1.03,1.05,0.447447392,0.402381452,0.359941133
the dish oven.,1.07,1.25,0.424167304,0.508744519,0.626006745
the dish salad.,1.21,1.13,0.583583047,0.531278046,0.826258056
the dish salmon.,0.72,0.96,0.180294407,0.291638201,0.583328918
the dish soap.,3.96,0.19,0.22514553,0.359245843,0.409101368
the doctor jail.,0.74,1.02,0.202377686,0.269767392,0.186970115
the doctor witch.,0.93,0.96,0.304271852,0.314779648,0.522048814
the dog bed.,3.62,0.78,0.20662018,0.300845306,0.345009146
the dog body.,2.89,1.29,0.197146885,0.235399446,0.416859348
the dog book.,2.52,1.66,0.085556083,0.30554295,0.349064678
the dog bull.,0.86,1.06,0.284767485,0.390514746,0.716651985
the dog chocolate.,0.64,1.19,0.304887178,0.291343413,0.3306481
the dog corn.,0.64,0.95,0.162368847,0.188886247,0.309715277
the dog crate.,3.1,1.42,0.404899003,0.213498295,0.297579458
the dog dish.,3.83,0.76,0.150913033,0.240466022,0.334641953
the dog door.,3.45,1.15,0.199663886,0.27411372,0.279471269
the dog face.,3.1,1.29,0.097053188,0.24653085,0.39002238
the dog flea.,2.86,1.27,0.361241205,0.333911121,0.540986769
the dog magazine.,3.79,0.42,0.071129819,0.174397149,0.247785752
the dog mother.,2.52,1.33,0.345503011,0.338343454,0.470983607
the dog pet.,1.45,1.09,0.716478542,0.629159849,0.778110845
the dog picture.,3.31,1.14,0.089016338,0.193377631,0.374368056
the dog school.,2.72,1.58,0.08423781,0.138407586,0.171921844
the dog sheep.,0.76,0.87,0.39550023,0.436516157,0.751963211
the dog sled.,3.75,0.7,0.324897069,0.489169956,0.352323536
the dollar coin.,3.11,1.34,0.309751347,0.295115046,0.275465979
the dollar gun.,1.04,1.07,0.069024681,0.071722818,0.1621198
the dollar picture.,1.32,1.25,0.100363501,0.210788525,0.118508562
the dollar television.,0.79,1.37,0.127481403,0.150651121,0.107800492
the dolphin river.,0.97,1.32,0.265291672,0.212163489,0.229110392
the donkey meat.,2.59,1.5,0.245038825,0.196518221,0.332518621
the door barn.,1.21,1.35,0.299614111,0.369741759,0.511821432
the door bedroom.,1.38,1.21,0.383681794,0.487156021,0.553984544
the door bell.,3.93,0.37,0.174732146,0.260268238,0.37858703
the door cabin.,0.79,0.82,0.334853007,0.401320975,0.609293854
the door cage.,1,1.09,0.300676252,0.328454134,0.595884405
the door cat.,0.93,1.14,0.215620275,0.228989659,0.280524115
the door church.,0.64,0.99,0.203579882,0.319817344,0.325312444
the door coin.,0.39,0.69,0.150764631,0.177025906,0.220348177
the door crate.,1.03,1.24,0.318939671,0.238249706,0.384340432
the door dog.,1.43,1.48,0.199663886,0.27411372,0.279471269
the door headlight.,0.45,0.91,0.270358601,0.189206917,0.563648396
the door house.,1.24,1.27,0.426009784,0.429807852,0.432166761
the door key.,3.1,1.29,0.150562342,0.292699225,0.323896735
the door kitchen.,1.28,1.16,0.37743761,0.44406844,0.591218499
the door library.,1.07,1.27,0.180602999,0.182531986,0.314592564
the door milk.,0.38,0.86,0.058613872,0.158850499,0.173668545
the door oven.,1.21,1.34,0.255194332,0.224720292,0.44791845
the door pet.,0.48,0.91,0.114152135,0.17793287,0.228221721
the door prison.,0.82,1.12,0.079848041,0.196445983,0.286190666
the door refrigerator.,0.89,1.1,0.386928422,0.351807491,0.470024234
the door screen.,3,1.41,0.193158447,0.37436405,0.520311534
the door stage.,0.69,0.85,0.178320096,0.282244033,0.346883186
the dove soap.,3.54,0.74,0.0168663,0.313957277,0.308696164
the drawer kitchen.,1.24,1.12,0.437213761,0.410883215,0.69018268
the drawer knife.,1.25,1.4,0.376212521,0.327999802,0.476254745
the dress clothes.,3.59,1.05,0.587777466,0.632072013,0.586012443
the dress jeans.,2.79,1.29,0.590655808,0.587861543,0.601046733
the dress mother.,0.76,1.24,0.206548372,0.2755569,0.171583831
the dress ship.,0.45,0.91,0.055039882,0.125089477,0.254298037
the dress shirt.,3.79,0.77,0.460704928,0.581030455,0.637349754
the dress summer.,1,1.24,0.094827108,0.213653102,0.126392332
the dress sun.,0.93,1.02,0.113548696,0.150079604,0.253106024
the dress swan.,0.36,0.68,0.223747036,0.15076035,0.239432303
the dress tennis.,0.93,1.16,0.106946848,0.159283299,0.141092766
the duck blood.,2.71,1.49,0.107615435,0.099016719,0.301592823
the duck meat.,3.25,1.21,0.302386452,0.36404452,0.465954082
the duck pet.,1.07,1.13,0.299512257,0.266133644,0.533611832
the duck pond.,3.71,0.6,0.253245663,0.327010937,0.342165962
the duck soup.,3.36,1.06,0.333151707,0.346942401,0.435822251
the duck tape.,2.64,1.54,0.079803169,0.194285786,0.363111061
the dwarf helmet.,1.3,1.1,0.013590804,0.070391685,0.296497702
the dwarf pea.,1.46,1.35,0.308979488,0.246001692,0.25563578
the ear candy.,1.07,1.54,0.172226454,0.253125762,0.276471962
the ear diamond.,1.46,1.26,0.160249904,0.147829753,0.33481554
the ear elephant.,0.79,0.88,0.182131377,0.258956427,0.33433603
the earth moon.,1.21,1.13,0.452750667,0.569607149,0.768948041
the earth star.,0.89,1.17,0.118906435,0.266404689,0.234022165
the elephant circus.,2.62,1.12,0.342581875,0.334438674,0.483389263
the elephant ear.,3.86,0.58,0.182131377,0.258956427,0.33433603
the engine car.,1.29,1.3,0.408004215,0.484244184,0.721383421
the engine cat.,0.44,0.93,0.043267228,0.019559284,0.263940095
the engine chess.,0.14,0.45,0.012585105,0.090520062,0.201108904
the engine fire.,2.79,1.32,0.26105705,0.269082033,0.268968555
the engine ship.,1.34,1.04,0.217412314,0.289192428,0.371614393
the engine street.,0.48,0.63,0.067253333,0.159852066,0.174705322
the engine vehicle.,1.07,1.13,0.382071679,0.440774113,0.753355497
the face baby.,0.9,1.05,0.121444937,0.256390395,0.289905998
the face bed.,0.25,0.59,0.133721649,0.18911718,0.415530392
the face chair.,0.25,0.59,0.121095353,0.22933648,0.349855085
the face clown.,1,0.94,0.157457531,0.151655986,0.275065447
the face dish.,0.43,0.84,0.093606128,0.085805744,0.272310194
the face dog.,0.52,0.89,0.097053188,0.24653085,0.39002238
the face horse.,0.76,0.87,0.063452308,0.192128703,0.313823129
the face mask.,3.89,0.32,0.340710795,0.36861953,0.488117938
the face mountain.,0.43,0.74,0.11843814,0.20137034,0.283214769
the face rat.,0.61,0.96,0.053652572,0.017897849,0.228888369
the face sheet.,1.3,1.32,0.108806753,0.223554393,0.336542966
the face stage.,0.24,0.64,0.170936259,0.308492701,0.497622132
the farmer cattle.,1.43,1.14,0.455245885,0.385816789,0.483837621
the farmer chicken.,0.96,1.1,0.337888544,0.2849156,0.273314104
the farmer grape.,1.07,1.18,0.342904909,0.223460186,0.310556095
the farmer pig.,1.21,1.17,0.385314826,0.377771761,0.387115125
the farmer star.,0.64,1.19,0.009424123,0.066815771,0.197575918
the farmer wife.,2.52,1.4,0.269656899,0.345189308,0.381273698
the farmer worm.,0.64,0.83,0.118635589,0.056309132,0.270838368
the father blood.,0.54,0.84,0.141740346,0.238277306,0.286011628
the father church.,0.96,1.1,0.248368916,0.355889662,0.315457146
the field army.,2.69,1.28,0.066271714,0.315447978,0.222638215
the field bus.,1.28,1.39,0.097299469,0.141907875,0.334322608
the field cap.,0.96,1.2,0.130746399,0.203453671,0.425432935
the field flower.,2.7,1.46,0.124186735,0.124686945,0.296407022
the field grass.,2.59,1.38,0.338278454,0.350971268,0.44824337
the field guy.,2.59,1.32,0.139326089,0.18487723,0.222128389
the field kitchen.,0.79,1.18,0.097404354,0.116839752,0.287184722
the field mouse.,3.62,1.15,0.052116645,0.121372313,0.248726022
the field phone.,1.21,1.37,0.057579075,0.144278825,0.291418368
the field railroad.,0.79,1.26,0.06595209,0.123816021,0.290379365
the field school.,1.17,1.28,0.178435757,0.284111486,0.414782769
the field square.,1.18,1.52,0.217928333,0.199754524,0.55141265
the field star.,0.96,1.1,0.092264236,0.285181286,0.29102078
the field vehicle.,2.69,1.39,0.097463868,0.238044504,0.31611887
the fire ant.,3.48,1.18,0.194008136,0.187523744,0.170677379
the fire ball.,3.38,1.27,0.104999214,0.214847673,0.36538509
the fire bell.,3.07,1.33,0.165317668,0.189390527,0.21634537
the fire bowl.,1.14,1.46,0.020075442,0.06561802,0.432332902
the fire brick.,1,1.34,0.148429436,0.200773346,0.281972633
the fire engine.,3.79,0.62,0.26105705,0.269082033,0.268968555
the fire gun.,1.36,1.34,0.312672612,0.452277785,0.626121095
the fire home.,0.86,1.01,0.160449044,0.275555838,0.224658984
the fire leaf.,0.97,1.38,0.083681961,0.06837752,0.196308875
the fire radio.,1.1,1.45,0.12290036,0.250534081,0.278423665
the fire road.,1.38,1.27,0.161544024,0.264641707,0.186361444
the fire truck.,3.86,0.74,0.262265532,0.335765931,0.312304834
the fireplace brick.,2.97,1.32,0.363485056,0.458161066,0.641166235
the fisherman lobster.,0.93,1.28,0.454667894,0.428689846,0.341186377
the flag heart.,0.69,1.14,0.100857831,0.146627095,0.342703409
the flag hurricane.,0.28,0.65,0.050572003,0.099772568,0.230162301
the flag rainbow.,0.75,1,0.19900377,0.293891274,0.441462164
the flag star.,1.36,1.19,0.14162433,0.201995846,0.271702543
the flame orange.,0.89,1.13,0.188590465,0.229990731,0.38586436
the flea cat.,1.3,1.1,0.369882493,0.249971783,0.653337272
the flea circus.,3.04,1.48,0.246330248,0.29084488,0.381266031
the flea dog.,1.26,1.13,0.361241205,0.333911121,0.540986769
the flea house.,1.24,1.33,0.224673018,0.026009008,0.118369497
the flea soap.,1.21,1.52,0.224805183,0.081732462,0.350387042
the flood stage.,0.9,1.4,0.095453388,0.115659552,0.328313424
the flour bread.,1.36,1.1,0.615212546,0.629792553,0.805172881
the flour cake.,2.71,1.38,0.400113686,0.493241764,0.685802876
the flour corn.,1.11,1.13,0.443475343,0.539872904,0.816891991
the flour potato.,1.04,1.26,0.515466637,0.456941058,0.828997635
the flour rock.,0.36,0.62,0.102060805,0.079866104,0.210521007
the flour water.,1.28,1.39,0.277612802,0.281049304,0.453493125
the flower bed.,3.93,0.26,0.242464835,0.294700817,0.433422112
the flower field.,3.21,1.2,0.124186735,0.124686945,0.296407022
the flower garden.,3.86,0.62,0.594903938,0.462849011,0.5291329
the flower gardener.,3.86,0.76,0.489256435,0.27134643,0.308714448
the flower girl.,3.86,0.76,0.288345513,0.256326364,0.330976694
the flower leaf.,2.64,1.39,0.488918871,0.441407274,0.870098314
the flower pot.,3.86,0.76,0.293170794,0.302106513,0.561689401
the foot bird.,0.36,0.62,0.082578086,0.27379705,0.316554979
the foot cat.,0.64,0.91,0.119961251,0.205963549,0.297275343
the foot hill.,2.86,1.33,0.278710871,0.280781729,0.458626836
the foot water.,0.68,1.02,0.164232717,0.303629151,0.443530005
the forest cloud.,1.29,1.41,0.161408333,0.32177835,0.358835996
the forest fire.,4,0,0.305948321,0.419829914,0.193651023
the forest lawn.,1,1,0.188743835,0.334293376,0.533255868
the forest pine.,2.64,1.25,0.403670248,0.54823549,0.484010611
the forest rain.,3.3,1.07,0.214630733,0.373553127,0.332356637
the forest road.,3.07,1.25,0.215368318,0.316715295,0.356427117
the fork leg.,0.45,0.95,0.165027963,0.088498992,0.461201746
the fountain pen.,3.75,0.75,0.127525836,0.268818435,0.371706148
the fountain water.,3.25,1.11,0.410718752,0.34294139,0.434002186
the frog leg.,3.93,0.37,0.187675378,0.197519895,0.296684584
the frog toad.,0.79,0.96,0.704981955,0.63312181,0.950300892
the garden ant.,3.29,1.15,0.280538982,0.108386949,0.229495969
the garden cottage.,2.96,1.29,0.409749976,0.389855834,0.728270218
the garden flower.,3.29,1.05,0.594903938,0.462849011,0.5291329
the garden kitchen.,1.31,1.54,0.466906502,0.458946973,0.661959118
the garden picture.,2.89,1.42,0.103723841,0.176737924,0.377580322
the garden plant.,3.43,1.03,0.30931792,0.355761637,0.494220929
the garden prison.,0.7,0.82,0.069762038,0.096714169,0.435666042
the garden rose.,3.03,1.4,0.111447629,0.221335817,0.410516253
the garden salad.,3.93,0.27,0.386432135,0.214336237,0.232754475
the garden window.,3.11,1.37,0.229907043,0.297135288,0.508678366
the gardener flower.,0.89,1.23,0.489256435,0.27134643,0.308714448
the giraffe neck.,3.43,1.14,0.223895576,0.204723406,0.187728336
the girl chocolate.,0.57,1,0.159596274,0.188910679,0.2324208
the girl church.,0.54,0.74,0.228738381,0.203506473,0.232245559
the girl cow.,2.79,1.42,0.304723631,0.222309352,0.460415982
the girl flower.,0.96,1,0.288345513,0.256326364,0.330976694
the girl juice.,0.5,1,0.109340086,0.11988288,0.156956486
the girl valley.,0.38,0.82,0.097164964,0.153271501,0.14721307
the glove gold.,0.59,0.78,0.163965504,0.258453548,0.356592763
the goat baby.,2.71,1.36,0.291051173,0.317749544,0.582192687
the goat cheese.,3.83,0.76,0.317911383,0.606518466,0.42771779
the goat meat.,3.76,0.58,0.444039504,0.528666539,0.545155018
the goat milk.,3.69,1.04,0.383717458,0.480367604,0.440678407
the goat pet.,1.28,1.13,0.384384838,0.347530629,0.718718119
the gold banana.,2.57,1.45,0.155714896,0.072804006,0.371397059
the gold bell.,3.74,0.81,0.153082416,0.124959714,0.403620675
the gold cap.,3.5,0.88,0.162744454,0.196368205,0.362459593
the gold crown.,3.96,0.19,0.315220166,0.405211016,0.397582611
the gold glove.,3.79,0.57,0.163965504,0.258453548,0.356592763
the gold guy.,2.5,1.23,0.049690979,0.073756427,0.259749871
the gold honey.,3.29,1.08,0.245056691,0.124478762,0.3765173
the gold leaf.,3.63,0.93,0.289755004,0.304069889,0.383967357
the gold money.,3.25,1.21,0.155377914,0.265175368,0.384335443
the gold necklace.,4,0,0.312378718,0.341956885,0.505704001
the gold road.,3,1.28,0.06171313,0.154525475,0.137697774
the gold star.,3.68,0.86,0.145640366,0.30189647,0.253274026
the gold teeth.,3.96,0.19,0.116372662,0.148924705,0.257984363
the gold tooth.,3.89,0.31,0.206863949,0.153861976,0.36614844
the golf ball.,4,0,0.250310485,0.309838977,0.347534403
the golf mountain.,1.11,1.17,0.145962253,0.268771323,0.290663286
the golf shirt.,4,0,0.187923984,0.233999594,0.212577553
the goose mother.,2.59,1.15,0.111952439,0.17289944,0.216462125
the gorilla baby.,3.21,1.15,0.320134367,0.29452763,0.5877518
the gorilla blood.,3.14,1.3,0.032369929,0.058514991,0.273230021
the grape farmer.,3.55,0.91,0.342904909,0.223460186,0.310556095
the grape juice.,4,0,0.419719994,0.505273671,0.680904703
the grape vine.,3.96,0.19,0.602287731,0.516946133,0.755167725
the grass field.,3.54,1.07,0.338278454,0.350971268,0.44824337
the grass hay.,1.36,1.22,0.470728334,0.271772934,0.499501894
the grass lemon.,0.64,0.83,0.181724659,0.265115765,0.355717989
the gun bag.,2.79,1.5,0.289409833,0.297247889,0.468503668
the gun bullet.,2.5,1.45,0.472806381,0.425460175,0.755980822
the gun dollar.,0.31,0.71,0.069024681,0.071722818,0.1621198
the gun fire.,3.64,0.99,0.312672612,0.452277785,0.626121095
the gun moose.,0.32,0.67,0.171577109,0.12358568,0.205608808
the gun nail.,0.59,0.78,0.137689644,0.257834884,0.486687227
the gun nut.,0.75,1.35,0.192531397,0.24024792,0.329073865
the gun pill.,0.14,0.45,0.207992941,0.183059944,0.349150822
the guy coffee.,0.86,0.92,0.160083668,0.111126388,0.236062594
the guy coin.,0.54,1,0.101803808,0.090290281,0.214854461
the guy cop.,3.75,0.59,0.436367843,0.438121218,0.735330046
the guy field.,0.68,0.77,0.139326089,0.18487723,0.222128389
the guy gold.,0.14,0.44,0.049690979,0.073756427,0.259749871
the guy heart.,0.79,1.29,0.171251489,0.249808372,0.31069324
the guy hotel.,0.64,0.87,0.0954102,0.149103594,0.178736973
the guy lawn.,0.39,0.79,0.116413623,0.080432089,0.202527274
the guy meat.,0.86,1.35,0.077809695,0.111259683,0.192030098
the guy painting.,3.57,0.79,0.109601155,0.117043546,0.236648429
the guy picture.,1.03,0.98,0.18215216,0.245362681,0.375298145
the guy radio.,0.93,1.21,0.119327104,0.186825731,0.247818578
the guy rocket.,0.71,1.15,0.104695548,0.11854566,0.276003474
the guy telephone.,0.68,1.06,0.037676683,0.180838969,0.180269294
the guy weed.,0.43,0.84,0.190296748,0.117215891,0.271481396
the gym bag.,4,0,0.199809077,0.3328854,0.341529292
the gym home.,0.86,1.01,0.259198965,0.248558643,0.530616301
the gym rat.,3.14,1.08,0.068697673,0.271768581,0.239851518
the gym school.,1.31,0.97,0.432320072,0.400798339,0.497534594
the ham radio.,0.46,1.26,0.20998732,0.16823513,0.193899189
the harbour house.,3.18,1.19,0.136515378,0.123216517,0.439670042
the hawk chicken.,0.39,0.69,0.278244415,0.163992935,0.327288798
the hawk mother.,2.9,1.29,0.059529665,0.049387353,0.243695523
the hay field.,3.43,1,0.144192163,0.091666419,0.224218287
the hay summer.,1.29,1.3,0.15076423,0.140326727,0.153933787
the headlight bike.,0.93,1.02,0.352751048,0.167069878,0.497681903
the headlight bulb.,3.14,1.41,0.389829321,0.364268211,0.675428988
the headlight door.,0.5,0.75,0.270358601,0.189206917,0.563648396
the heart flag.,1.43,1.53,0.100857831,0.146627095,0.342703409
the heart guy.,1,1.02,0.171251489,0.249808372,0.31069324
the heart pearl.,0.86,1.03,0.077925872,0.13655512,0.337559181
the heart surgeon.,3.89,0.42,0.25330608,0.423830467,0.162029993
the helmet army.,0.72,0.8,0.123069273,0.167697458,0.218709696
the helmet dwarf.,0.34,0.61,0.013590804,0.070391685,0.296497702
the helmet mirror.,1.29,1.65,0.226735745,0.214826488,0.434132349
the hen house.,3.86,0.59,0.248254055,0.177186705,0.198379017
the hen mother.,2.55,1.33,0.214804433,0.180987781,0.327611574
the hill foot.,1.04,1.26,0.278710871,0.280781729,0.458626836
the holiday golf.,0.71,0.94,0.126999587,0.204951352,0.502219061
the holiday home.,3.11,1.29,0.249678669,0.360175586,0.343443206
the holiday school.,1,1.07,0.134056919,0.192132249,0.256611254
the home bike.,0.88,0.86,0.176714973,0.158586455,0.274557856
the home boy.,2.69,1.26,0.194418435,0.305207324,0.247356468
the home brick.,0.97,0.94,0.24434816,0.279135623,0.225025754
the home bus.,1.36,1.25,0.154763525,0.279296812,0.387561073
the home cab.,0.82,0.94,0.14479795,0.115501191,0.313026877
the home cattle.,1.03,1.27,0.096065726,0.166360109,0.196301575
the home field.,3.24,1.3,0.237344279,0.360110605,0.405133307
the home fire.,2.52,1.3,0.160449044,0.275555838,0.224658984
the home garden.,3.56,0.75,0.257076095,0.339381394,0.551667406
the home gym.,3.52,1.02,0.259198965,0.248558643,0.530616301
the home holiday.,1.18,1.19,0.249678669,0.360175586,0.343443206
the home library.,2.66,1.49,0.186629588,0.289445653,0.489822109
the home oven.,2.86,1.19,0.182702931,0.10862829,0.213096538
the home radio.,2.97,1.05,0.076136133,0.247180356,0.259889501
the home refrigerator.,3.28,1.1,0.267059687,0.188471039,0.232569753
the home school.,3.43,1.17,0.256322112,0.367204841,0.532539862
the home shepherd.,1,1.13,0.028362551,0.111980289,0.191873461
the home stove.,3.07,1.19,0.230991317,0.129221869,0.234356897
the home summer.,1.29,1.24,0.164345836,0.401875167,0.20810414
the home taxi.,0.97,1.21,0.120100037,0.164332464,0.321229175
the home telephone.,3.9,0.41,0.204173048,0.325348734,0.248225571
the home television.,3.48,1.09,0.145571601,0.3266252,0.202504613
the home window.,2.55,1.38,0.234110148,0.275247376,0.317471881
the home winter.,0.54,0.79,0.17890991,0.302218468,0.218698423
the honey cake.,3.21,1.2,0.35973354,0.419938573,0.654875383
the honey gold.,0.72,0.8,0.245056691,0.124478762,0.3765173
the honey pie.,2.71,1.38,0.298208166,0.385155831,0.646078123
the honey pot.,3.32,1.22,0.343004381,0.333752055,0.478373856
the horse barn.,3.33,1.24,0.517165149,0.40212821,0.386674386
the horse book.,2.82,1.25,0.068010579,0.244827134,0.3155388
the horse cab.,1.14,1.04,0.186073901,0.190391442,0.425053607
the horse shoe.,3.79,0.79,0.217991676,0.213170897,0.453958061
the hospital army.,1.28,1.19,0.194949078,0.308363288,0.254418422
the hospital building.,3.86,0.76,0.160858231,0.325641489,0.576800455
the hospital lawn.,3.43,1.14,0.060293329,0.148678139,0.180603326
the hospital pants.,2.57,1.62,0.019415967,0.04308498,0.084674362
the hospital refrigerator.,3.5,1.11,0.159486193,0.088257177,0.180820863
the hospital surgeon.,3.79,0.83,0.442022443,0.476172059,0.31086491
the hotel cafe.,4,0,0.4020607,0.513379701,0.786293993
the hotel guy.,3.57,0.79,0.0954102,0.149103594,0.178736973
the hotel pool.,3.85,0.6,0.225755511,0.292969052,0.498407234
the hotel restaurant.,3.89,0.42,0.572377528,0.655844902,0.837468
the hotel window.,3.86,0.59,0.190008734,0.289423914,0.278049554
the house baby.,0.93,1.05,0.211613346,0.210876377,0.222517853
the house beach.,1.21,1.2,0.243504734,0.248085929,0.413064188
the house bedroom.,2.55,1.43,0.649693734,0.43316906,0.512383907
the house building.,1.29,1.12,0.437875389,0.534842553,0.712975219
the house chocolate.,1.07,1.12,0.070119601,0.089507302,0.120374648
the house door.,2.89,1.47,0.426009784,0.429807852,0.432166761
the house flea.,2.5,1.5,0.224673018,0.026009008,0.118369497
the house grass.,1.28,1.36,0.145625626,0.172662753,0.244099681
the house harbour.,0.97,1.27,0.136515378,0.123216517,0.439670042
the house jail.,1.04,1.04,0.311805619,0.257353614,0.33982819
the house lake.,1.07,1.27,0.252294482,0.207166211,0.397082739
the house magazine.,2.64,1.54,0.115624091,0.191726343,0.262777019
the house milk.,1.36,1.22,0.085618848,0.103257101,0.180766435
the house mouse.,2.54,1.29,0.081209839,0.103652591,0.163429137
the house nut.,1.29,1.24,0.056828959,-0.013263337,0.162357121
the house pet.,3.93,0.26,0.194337198,0.231726902,0.225186331
the house phone.,3.68,0.94,0.194213412,0.269384841,0.294864825
the house plant.,3.61,0.96,0.224356593,0.136803214,0.473151187
the house pool.,2.57,1.48,0.229378866,0.197461276,0.520238602
the house rainbow.,0.11,0.42,0.00567003,0.054322973,0.174777694
the house school.,1.07,1.1,0.232768931,0.313733254,0.574393558
